depth,p,n,real,b,ivn_max,ir2_max,a_at_max
4,0.02,12,30,9,9.29723154463602e-07,4.163691613712217e-10,1
4,0.02,12,30,10,1.4678255144673358e-07,1.4447110174842237e-11,1
4,0.02,12,31,1,3.9389081561642394,4.726434713016003,2
4,0.02,12,31,2,2.2910535097725875,2.847011841327692,3
4,0.02,12,31,3,0.8611480442308208,0.9904179454439337,3
4,0.02,12,31,4,0.10137291398787429,0.0275165101516075,2
4,0.02,12,31,5,0.01773967972972823,0.0008669932013845028,5
4,0.02,12,31,6,0.0013127781189830046,3.890597423605868e-05,3
4,0.02,12,31,7,0.0008018624200696323,6.057966858818986e-06,3
4,0.02,12,31,8,0.0002739608182737996,2.7472609254175495e-07,2
4,0.02,12,31,9,1.685992573197126e-05,5.257467350361367e-09,2
4,0.02,12,31,10,5.109782970080801e-07,3.19033688356285e-11,1
4,0.02,12,32,1,3.662800472148982,4.598974186702289,4
4,0.02,12,32,2,1.7619539204579393,2.041718537643942,9
4,0.02,12,32,3,0.2586900282405882,0.21812366520783488,4
4,0.02,12,32,4,0.09453197229302734,0.052811221135559805,5
4,0.02,12,32,5,0.022317838998697326,0.0021203206197295543,5
4,0.02,12,32,6,0.003975470546762949,9.488340762953129e-05,5
4,0.02,12,32,7,0.00045255968832869087,3.615827476544098e-06,4
4,0.02,12,32,8,5.194622326065712e-05,5.990027851510149e-08,3
4,0.02,12,32,9,4.5759955469293345e-07,8.462386347218853e-11,1
4,0.02,12,32,10,1.0429284280633055e-07,3.561595462997502e-12,1
4,0.02,12,33,1,3.6653446638041327,4.602114211486356,2
4,0.02,12,33,2,2.325684088735416,2.867650242848555,2
4,0.02,12,33,3,0.9862540199115895,1.0847957492120264,4
4,0.02,12,33,4,0.08674808604453688,0.051339128217037455,2
4,0.02,12,33,5,0.04553672795022656,0.02198271990748868,2
